,cities,cloudiness,country,humidity,lat,lng,temp,wind
0,kamaishi,40.0,JP,57.0,39.28,141.86,80.6,5.82
1,mataura,46.0,NZ,81.0,-46.19,168.86,51.01,5.99
2,vila,40.0,IT,83.0,45.18,8.4,80.01,6.93
3,hobart,0.0,AU,50.0,-42.88,147.33,57.2,8.05
4,ushuaia,75.0,AR,92.0,-54.81,-68.31,30.2,3.36
5,bredasdorp,84.0,ZA,82.0,-34.53,20.04,60.8,11.41
6,arnold,1.0,US,78.0,38.43,-90.38,78.01,4.7
7,plainview,1.0,US,50.0,34.18,-101.71,75.2,24.16
8,georgetown,20.0,GY,94.0,6.8,-58.16,77.0,4.7
9,hithadhoo,58.0,MV,70.0,-0.6,73.08,84.14,6.8
10,cabedelo,20.0,BR,94.0,-6.97,-34.84,73.4,4.7
11,tolcsva,0.0,HU,82.0,48.28,21.45,70.0,2.24
12,rikitea,0.0,PF,81.0,-23.12,-134.97,73.34,7.18
13,sabratah,0.0,LY,76.0,32.79,12.49,75.86,13.15
14,monrovia,40.0,LR,94.0,6.33,-10.8,75.2,8.28
15,faya,20.0,SA,37.0,18.39,42.45,73.4,3.38
16,bilisht,20.0,AL,77.0,40.62,20.99,64.4,6.93
17,lebu,40.0,ET,82.0,8.96,38.73,57.2,4.7
18,saint-pierre,0.0,FR,94.0,48.95,4.24,69.8,8.05
19,caravelas,0.0,BR,87.0,-17.73,-39.27,70.28,6.69
20,punta arenas,90.0,CL,96.0,-53.16,-70.91,32.0,4.7
21,kodiak,40.0,US,64.0,39.95,-94.76,79.0,8.05
22,bandarbeyla,100.0,SO,60.0,9.49,50.81,80.0,23.53
23,antalaha,19.0,MG,99.0,-14.9,50.28,63.44,3.13
24,yellowknife,20.0,CA,42.0,62.45,-114.38,66.2,6.93
25,barrow,0.0,AR,61.0,-38.31,-60.23,38.42,8.21
26,nagai,75.0,JP,42.0,38.14,139.98,87.01,6.93
27,hofn,97.0,IS,71.0,64.25,-15.21,41.12,9.35
28,cocentaina,20.0,ES,88.0,38.74,-0.44,73.99,4.7
29,chimoio,75.0,MZ,100.0,-19.11,33.48,57.2,0.89
30,nuuk,100.0,GL,81.0,64.17,-51.74,51.8,11.41
31,hamilton,5.0,CA,88.0,43.26,-79.87,70.0,5.82
32,katsuura,75.0,JP,83.0,33.93,134.5,82.0,19.46
33,kawalu,8.0,ID,55.0,-7.38,108.21,80.0,4.14
34,novobirilyussy,100.0,RU,62.0,56.95,90.69,69.74,7.67
35,srednekolymsk,1.0,RU,20.0,67.46,153.71,82.34,11.9
36,saskylakh,45.0,RU,27.0,71.97,114.09,84.32,10.51
37,hilo,40.0,US,58.0,19.71,-155.08,82.4,12.75
38,torbay,5.0,CA,100.0,47.66,-52.73,46.0,5.82
39,aras,72.0,YE,53.0,14.28,44.38,72.08,2.89
40,east london,75.0,ZA,93.0,-33.02,27.91,59.0,4.7
41,codrington,75.0,AU,77.0,-28.95,153.24,66.2,11.41
42,port alfred,30.0,ZA,95.0,-33.59,26.89,60.01,8.99
43,joshimath,88.0,IN,74.0,30.57,79.57,60.74,3.98
44,matagami,50.0,NG,95.0,9.67,8.4,68.66,2.75
45,butterworth,75.0,MY,74.0,5.4,100.37,86.0,8.05
46,atuona,0.0,PF,77.0,-9.8,-139.03,81.08,17.72
47,ribeira grande,93.0,PT,71.0,38.52,-28.7,65.96,13.96
48,isangel,75.0,VU,74.0,-19.55,169.27,80.6,13.87
